"","V1"
"1485",4101
"1486",9116
"1487",1429
"1488",2990
"1489",740
"1490",15620
"1491",1841
"1492",2179
"1493",2493
"1494",2879
"1495",1404
"1496",1680
"1497",6350
"1498",1172
"1499",46
"1500",7552
"1501",1185
"1502",3018
"1503",8164
"1504",15716
"1505",1018
"1506",1797
"1507",2078
"1508",1675
"1509",19051
"1510",1364
"1511",2621
"1512",1395
"1513",1135
"1514",1951
"1515",2086
"1516",2963
"1517",4409
"1518",4605
"1519",1726
"1520",1154
"1521",1372
"1522",6247
"1523",3060
"1524",408
"1525",1303
"1526",5475
"1527",2645
"1528",3188
"1529",3592
"1530",3073
"1531",3818
"1532",3492
"1533",2448
"1534",5790
"1535",4227
"1536",4432
"1537",866
"1538",7413
"1539",18023
"1540",1638
"1541",1291
"1542",3097
"1543",4456
"1544",4614
"1545",1886
"1546",800
"1547",1108
"1548",1842
"1549",4320
"1550",3379
"1551",1042
"1552",3118
"1553",14971
"1554",92
"1555",4063
"1556",2886
"1557",5557
"1558",6420
"1559",1827
"1560",2340
"1561",1097
"1562",151
"1563",15347
"1564",1095
"1565",36
"1566",1665
"1567",1671
"1568",2635
"1569",2345
"1570",7366
"1571",2921
"1572",1267
"1573",1815
"1574",10402
"1575",2382
"1576",10401
"1577",2516
"1578",3170
"1579",11334
"1580",4889
"1581",2209
"1582",2515
"1583",3180
"1584",3181
"1585",2710
"1586",2606
"1587",977
"1588",56
"1589",3189
"1590",88
"1591",3122
"1592",3197
"1593",4804
"1594",1968
"1595",3752
"1596",3203
"1597",2625
"1598",5129
"1599",3367
"1600",600
"1601",582
"1602",3218
"1603",2976
"1604",198
"1605",2665
"1606",4984
"1607",3498
"1608",1943
"1609",5712
"1610",4386
"1611",2901
"1612",1278
"1613",7199
"1614",10646
"1615",2862
"1616",5867
"1617",1979
"1618",2116
"1619",927
"1620",3485
"1621",2652
"1622",964
"1623",968
"1624",2871
"1625",3921
"1626",3404
"1627",3320
"1628",4696
"1629",4723
"1630",8586
"1631",4911
"1632",4736
"1633",4501
"1634",5022
"1635",4326
"1636",3619
"1637",3411
"1638",5206
"1639",3797
"1640",3833
"1641",3295
"1642",2535
"1643",3908
"1644",9330
"1645",3603
"1646",3525
"1647",889
"1648",685
"1649",5032
"1650",5470
"1651",398
"1652",6240
"1653",376
"1654",3421
"1655",182
"1656",4038
"1657",6921
"1658",6675
"1659",3604
"1660",3334
"1661",3679
"1662",5696
"1663",4209
"1664",4215
"1665",3884
"1666",921
"1667",8793
"1668",5344
"1669",9443
"1670",7609
"1671",3356
"1672",9109
"1673",3540
"1674",3747
"1675",290
"1676",6241
"1677",3419
"1678",6478
"1679",3624
"1680",382
"1681",3882
"1682",2979
"1683",8774
"1684",4055
"1685",15971
"1686",5240
"1687",6970
"1688",758
"1689",7472
"1690",8343
"1691",7765
"1692",3398
"1693",8162
"1694",7922
"1695",3826
"1696",3269
"1697",4474
"1698",10476
"1699",4530
"1700",3920
"1701",3981
"1702",3366
"1703",3577
"1704",4058
"1705",440
"1706",4426
"1707",2794
"1708",4427
"1709",8239
"1710",986
"1711",4706
"1712",6307
"1713",3284
"1714",4885
"1715",4724
"1716",7422
"1717",631
"1718",3780
"1719",6479
"1720",4870
"1721",5077
"1722",4237
"1723",4682
"1724",4156
"1725",5136
"1726",3272
"1727",5170
"1728",8391
"1729",5016
"1730",4131
"1731",9947
"1732",4989
"1733",7704
"1734",2391
"1735",13488
"1736",2781
"1737",3488
"1738",2835
"1739",3784
"1740",716
"1741",912
"1742",909
"1743",3835
"1744",3843
"1745",2642
"1746",4693
"1747",4207
"1748",3084
"1749",4423
"1750",5134
"1751",3396
"1752",3947
"1753",3520
"1754",2818
"1755",8989
"1756",3870
"1757",3528
"1758",9091
"1759",8986
"1760",9148
"1761",3275
"1762",2817
"1763",3539
"1764",368
"1765",629
"1766",9080
"1767",1312
"1768",5354
"1769",5538
"1770",3982
"1771",4226
"1772",5582
"1773",9890
"1774",2952
"1775",9184
"1776",4904
"1777",3830
"1778",3358
"1779",2165
"1780",2171
"1781",3557
"1782",1385
"1783",4700
"1784",444
"1785",3584
"1786",5052
"1787",4941
"1788",9231
"1789",2342
"1790",5128
"1791",4654
"1792",663
"1793",3657
"1794",4437
"1795",3900
"1796",5141
"1797",4905
"1798",3489
"1799",3047
"1800",10630
"1801",2189
"1802",4083
"1803",5640
"1804",4411
"1805",741
"1806",4031
"1807",3628
"1808",4794
"1809",3631
"1810",4726
"1811",2618
"1812",3496
"1813",126
"1814",12889
"1815",4529
"1816",4964
"1817",2828
"1818",2748
"1819",1659
"1820",5183
"1821",2484
"1822",2386
"1823",3700
"1824",4396
"1825",5202
"1826",4309
"1827",1140
"1828",2596
"1829",502
"1830",556
"1831",11680
"1832",3428
"1833",4873
"1834",10173
"1835",4523
"1836",936
"1837",771
"1838",5970
"1839",6220
"1840",4701
"1841",3696
"1842",4896
"1843",237
"1844",4785
"1845",3704
"1846",4638
"1847",4832
"1848",6239
"1849",3286
"1850",4387
"1851",7637
"1852",11205
"1853",5244
"1854",4421
"1855",4090
"1856",1877
"1857",4249
"1858",2983
"1859",2821
"1860",3946
"1861",3736
"1862",4276
"1863",4010
"1864",3279
"1865",6795
"1866",4297
"1867",4452
"1868",5916
"1869",4615
"1870",3754
"1871",3756
"1872",3451
"1873",6253
"1874",6446
"1875",5028
"1876",3766
"1877",6944
"1878",324
"1879",4689
"1880",13355
"1881",6634
"1882",5102
"1883",24
"1884",4717
"1885",2602
"1886",4138
"1887",5957
"1888",5276
"1889",4612
"1890",5207
"1891",298
"1892",4782
"1893",4609
"1894",4801
"1895",4627
"1896",2177
"1897",5196
"1898",1776
"1899",4191
"1900",4843
"1901",388
"1902",3076
"1903",3943
"1904",3434
"1905",11453
"1906",5447
"1907",3435
"1908",15289
"1909",3296
"1910",11724
"1911",3264
"1912",3268
"1913",2804
"1914",7129
"1915",6352
"1916",3904
"1917",2712
"1918",2761
"1919",3852
"1920",5275
"1921",4433
"1922",3861
"1923",802
"1924",3365
"1925",9734
"1926",3866
"1927",4275
"1928",5389
"1929",3331
"1930",3443
"1931",2938
"1932",3455
"1933",16212
"1934",9368
"1935",5898
"1936",3799
"1937",5407
"1938",4027
"1939",2842
"1940",5500
"1941",3075
"1942",209
"1943",7178
"1944",5844
"1945",4331
"1946",482
"1947",12356
"1948",2604
"1949",4457
"1950",6181
"1951",6686
"1952",2674
"1953",2787
"1954",12506
"1955",7587
"1956",15484
"1957",2441
"1958",6153
"1959",418
"1960",7392
"1961",3291
"1962",2878
"1963",3940
"1964",3942
"1965",5015
"1966",4247
"1967",4685
"1968",3950
"1969",3951
"1970",8902
"1971",5301
"1972",6994
"1973",4603
"1974",3961
"1975",3959
"1976",4803
"1977",7773
"1978",5495
"1979",6883
"1980",3938
"1981",3233
"1982",7984
"1983",3002
"1984",5438
"1985",788
"1986",6131
"1987",5384
"1988",248
"1989",9829
"1990",6673
"1991",3509
"1992",776
"1993",623
"1994",884
"1995",4825
"1996",422
"1997",3626
"1998",4861
"1999",5999
"2000",4013
"2001",4016
"2002",7731
"2003",5663
"2004",2949
"2005",4383
"2006",4640
"2007",5162
"2008",1491
"2009",3453
"2010",8116
"2011",4899
"2012",5960
"2013",5682
"2014",3330
"2015",5842
"2016",827
"2017",7280
"2018",3266
"2019",2505
"2020",5371
"2021",5772
"2022",5630
"2023",5539
"2024",5806
"2025",3042
"2026",3340
"2027",6291
"2028",5813
"2029",3802
"2030",5805
"2031",14175
"2032",4078
"2033",3306
"2034",15062
"2035",11391
"2036",7348
"2037",386
"2038",5182
"2039",6974
"2040",6976
"2041",4880
"2042",2574
"2043",4413
"2044",2731
"2045",3495
"2046",3035
"2047",1946
"2048",2701
"2049",4347
"2050",6178
"2051",5442
"2052",906
"2053",4470
"2054",2568
"2055",4471
"2056",3123
"2057",5770
"2058",4186
"2059",7646
"2060",6186
"2061",6269
"2062",240
"2063",5493
"2064",5081
"2065",7453
"2066",5995
"2067",2392
"2068",11059
"2069",1937
"2070",6785
"2071",2383
"2072",5151
"2073",4494
"2074",686
"2075",5104
"2076",6533
"2077",3738
"2078",4277
"2079",2416
"2080",4817
"2081",3277
"2082",6296
"2083",5018
"2084",1022
"2085",5363
"2086",3647
"2087",4188
"2088",4927
"2089",3438
"2090",6309
"2091",1663
"2092",1643
"2093",5113
"2094",8809
"2095",8643
"2096",332
"2097",6868
"2098",5404
"2099",8261
"2100",10030
"2101",5133
"2102",6016
"2103",4220
"2104",2607
"2105",4172
"2106",7018
"2107",2521
"2108",17376
"2109",3220
"2110",5831
"2111",4567
"2112",11065
"2113",16871
"2114",9996
"2115",5044
"2116",2733
"2117",5330
"2118",915
"2119",4251
"2120",5876
"2121",4256
"2122",5765
"2123",6224
"2124",8303
"2125",7142
"2126",4629
"2127",4268
"2128",973
"2129",8011
"2130",4395
"2131",5965
"2132",3865
"2133",6940
"2134",7942
"2135",6849
"2136",3057
"2137",6396
"2138",5289
"2139",8689
"2140",970
"2141",3746
"2142",4977
"2143",5583
"2144",659
"2145",4765
"2146",5521
"2147",5593
"2148",7128
"2149",3533
"2150",5537
"2151",6042
"2152",4784
"2153",3598
"2154",2615
"2155",734
"2156",5669
"2157",687
"2158",5779
"2159",3914
"2160",4334
"2161",1009
"2162",5803
"2163",6156
"2164",6228
"2165",7818
"2166",1662
"2167",3574
"2168",4349
"2169",2598
"2170",159
"2171",6768
"2172",5617
"2173",8858
"2174",5745
"2175",5747
"2176",4050
"2177",2980
"2178",3303
"2179",4372
"2180",3077
"2181",8558
"2182",4125
"2183",5334
"2184",2977
"2185",4384
"2186",2880
"2187",6404
"2188",3048
"2189",402
"2190",4699
"2191",3530
"2192",3349
"2193",6053
"2194",2751
"2195",5833
"2196",5722
"2197",292
"2198",834
"2199",5892
"2200",5270
"2201",7827
